service_id,total_playtime,avg_daily_playtime,days_active,total_pns,avg_daily_pns,total_days_completed,unique_words_exposed,avg_interactions_per_word,words_with_4plus_exposures,trained_count,untrained_count,random_count,trained_with_4plus_exposures,id,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid,overall_change,trained_change,untrained_change,exposure_group,days_group,playtime_group,pns_group,days_completed_group,unique_words_group,avg_interactions_group,trained_words_group,trained_with_4plus_group
5f2be6d7e4b1e9033697f65b,49.33,8.22,6,21.0,5.25,0.0,6,6.5,6,2,0,4,2,5f2be6d7e4b1e9033697f65b,3/6/2025 10:23:22,9 / 30,9,30,30.0,5,18,27.77777777777778,4,12,33.33333333333333,Fourth,4/17/25 10:14,10 / 30,10,30,33.3,8,16,50.0,2,14,14.285714285714285,Fourth,3.299999999999997,22.22222222222222,-19.047619047619044,low,low,low,low,low,low,high,low,low
5f2be6d7e4b1e9033697f65c,152.44,13.86,11,88.0,9.78,3.0,22,6.23,17,16,0,6,12,5f2be6d7e4b1e9033697f65c,3/7/2025 9:57:47,12 / 30,12,30,40.0,8,18,44.44444444444444,4,12,33.33333333333333,Fourth,4/17/25 08:58,15 / 30,15,30,50.0,9,16,56.25,6,14,42.857142857142854,Fourth,10.0,11.805555555555555,9.523809523809526,med,med,med,med,med,med,high,med,high
5f2be6d7e4b1e9033697f65f,244.01,22.18,11,147.0,14.7,5.0,33,7.64,30,25,0,8,22,5f2be6d7e4b1e9033697f65f,3/7/2025 9:49:42,9 / 30,9,30,30.0,3,18,16.666666666666664,6,12,50.0,Fourth,4/17/25 08:47,9 / 30,9,30,30.0,4,16,25.0,5,14,35.714285714285715,Fourth,0.0,8.333333333333336,-14.285714285714285,high,med,high,high,high,high,high,high,high
5f2be6d7e4b1e9033697f668,50.78,16.93,3,3.0,3.0,0.0,3,1.0,0,0,0,3,0,5f2be6d7e4b1e9033697f668,3/7/2025 8:10:20,15 / 30,15,30,50.0,11,18,61.111111111111114,4,12,33.33333333333333,Fourth,4/17/25 08:29,16 / 30,16,30,53.3,8,16,50.0,8,14,57.14285714285714,Fourth,3.299999999999997,-11.111111111111114,23.80952380952381,low,low,low,low,low,low,low,low,low
5f2be6d7e4b1e9033697f66f,178.66,14.89,12,76.0,10.86,4.0,17,4.47,13,11,0,6,9,5f2be6d7e4b1e9033697f66f,3/6/2025 10:52:25,19 / 30,19,30,63.3,10,18,55.55555555555556,9,12,75.0,Fourth,4/17/25 11:20,22 / 30,22,30,73.3,11,16,68.75,11,14,78.57142857142857,Fourth,10.0,13.194444444444445,3.5714285714285694,med,med,high,med,high,med,low,med,med
5f2be6d7e4b1e9033697f67b,187.8,23.48,8,110.0,13.75,6.0,24,4.83,21,18,0,6,15,5f2be6d7e4b1e9033697f67b,3/7/2025 8:18:11,17 / 30,17,30,56.7,10,18,55.55555555555556,7,12,58.333333333333336,Fourth,4/17/25 08:29,15 / 30,15,30,50.0,10,16,62.5,5,14,35.714285714285715,Fourth,-6.700000000000003,6.944444444444443,-22.61904761904762,high,low,high,high,high,med,med,high,high
5f2be6d7e4b1e9033697f680,153.95,15.4,10,120.0,12.0,5.0,27,6.56,25,21,0,6,19,5f2be6d7e4b1e9033697f680,3/7/2025 9:55:46,11 / 30,11,30,36.7,7,18,38.88888888888889,4,12,33.33333333333333,Fourth,4/17/25 08:50,14 / 30,14,30,46.7,9,16,56.25,5,14,35.714285714285715,Fourth,10.0,17.361111111111107,2.3809523809523867,high,med,med,high,high,high,high,high,high
5f2be6d7e4b1e9033697f685,151.53,18.94,8,47.0,6.71,1.0,16,4.25,9,11,0,5,5,5f2be6d7e4b1e9033697f685,3/7/2025 8:15:21,14 / 30,14,30,46.7,9,18,50.0,5,12,41.66666666666667,Fourth,4/17/25 08:34,15 / 30,15,30,50.0,9,16,56.25,6,14,42.857142857142854,Fourth,3.299999999999997,6.25,1.1904761904761827,low,low,med,low,low,med,low,med,med
5f2be6d7e4b1e9033697f68d,200.44,16.7,12,119.0,9.92,5.0,27,5.33,18,21,0,6,13,5f2be6d7e4b1e9033697f68d,3/6/2025 10:55:39,17 / 30,17,30,56.7,9,18,50.0,8,12,66.66666666666666,Fourth,4/17/25 11:20,21 / 30,21,30,70.0,11,16,68.75,10,14,71.42857142857143,Fourth,13.299999999999995,18.75,4.761904761904773,med,med,high,high,high,high,med,high,high
5f2be6d7e4b1e9033697f690,240.82,21.89,11,107.0,11.89,5.0,24,4.25,16,18,0,6,11,5f2be6d7e4b1e9033697f690,3/6/2025 10:52:28,22 / 30,22,30,73.3,13,18,72.22222222222221,9,12,75.0,Fourth,4/17/25 11:17,21 / 30,21,30,70.0,13,16,81.25,8,14,57.14285714285714,Fourth,-3.299999999999997,9.027777777777786,-17.85714285714286,med,med,high,high,high,med,low,high,med
5f2be6d7e4b1e9033697f69e,136.16,11.35,12,98.0,9.8,3.0,24,5.46,18,18,0,6,12,5f2be6d7e4b1e9033697f69e,3/6/2025 10:55:49,15 / 30,15,30,50.0,9,18,50.0,6,12,50.0,Fourth,4/17/25 11:19,15 / 30,15,30,50.0,8,16,50.0,7,14,50.0,Fourth,0.0,0.0,0.0,med,med,med,med,med,med,med,high,high
5f2be6d8e4b1e9033697f6b8,370.77,26.48,14,184.0,13.14,4.0,38,6.32,34,28,0,10,25,5f2be6d8e4b1e9033697f6b8,3/6/2025 10:52:55,21 / 30,21,30,70.0,14,18,77.77777777777779,7,12,58.333333333333336,Fourth,4/17/25 11:17,23 / 30,23,30,76.7,12,16,75.0,11,14,78.57142857142857,Fourth,6.700000000000003,-2.7777777777777857,20.238095238095234,high,high,high,high,high,high,high,high,high
