id,timestamp_x,original_score_x,total_correct_x,total_questions_x,percentage_x,total_trained_correct_x,total_trained_questions_x,trained_percentage_x,total_untrained_correct_x,total_untrained_questions_x,untrained_percentage_x,grade_x,timestamp_y,original_score_y,total_correct_y,total_questions_y,percentage_y,total_trained_correct_y,total_trained_questions_y,trained_percentage_y,total_untrained_correct_y,total_untrained_questions_y,untrained_percentage_y,grade_y,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid
6398ca5aa0b12303e7d6a7fd,3/10/2025 13:32:55,11 / 30,10.0,30.0,33.3,5.0,18.0,27.77777777777778,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a80f,3/10/2025 13:40:37,13 / 30,14.0,30.0,46.7,9.0,18.0,50.0,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a80f_4th,3/7/2025 8:26:00,8 / 30,8.0,30.0,26.7,4.0,18.0,22.22222222222222,4.0,12.0,33.33333333333333,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a813,3/10/2025 13:30:14,9 / 30,9.0,30.0,30.0,8.0,18.0,44.44444444444444,1.0,12.0,8.333333333333332,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a836,3/10/2025 13:44:35,22 / 30,24.0,30.0,80.0,12.0,18.0,66.66666666666666,12.0,12.0,100.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a8eb,3/10/2025 13:33:13,21 / 30,22.0,30.0,73.3,12.0,18.0,66.66666666666666,10.0,12.0,83.33333333333334,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398ca5aa0b12303e7d6a90b,3/10/2025 13:38:06,13 / 30,14.0,30.0,46.7,9.0,18.0,50.0,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63fcc77f3999501c1fb916e4,3/6/2025 9:50:21,6 / 30,5.0,30.0,16.7,4.0,18.0,22.22222222222222,1.0,12.0,8.333333333333332,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64c81a4aa8c262014801bed3,3/14/2025 13:56:52,7 / 30,6.0,30.0,20.0,3.0,18.0,16.666666666666664,3.0,12.0,25.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64c95026ea2c11082645290b,3/7/2025 9:53:25,9 / 30,9.0,30.0,30.0,5.0,18.0,27.77777777777778,4.0,12.0,33.33333333333333,Fourth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64d9abdd9bb6e206ee1602ee,3/14/2025 10:05:52,7 / 30,6.0,30.0,20.0,1.0,18.0,5.555555555555555,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64d9abdd9bb6e206ee16030c,3/14/2025 10:05:13,18 / 30,19.0,30.0,63.3,11.0,18.0,61.111111111111114,8.0,12.0,66.66666666666666,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652eb17d40d71311a62a1ee6,3/10/2025 13:32:44,7 / 30,8.0,30.0,26.7,5.0,18.0,27.77777777777778,3.0,12.0,25.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65b152177f3fc81d099165df,3/6/2025 9:45:26,23 / 30,25.0,30.0,83.3,14.0,18.0,77.77777777777779,11.0,12.0,91.66666666666666,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65d656e49f5bec117d228407,3/10/2025 13:25:39,8 / 30,9.0,30.0,30.0,4.0,18.0,22.22222222222222,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e73d65b65cb4036e2eca20,,,,,,,,,,,,,4/17/25 08:25,21 / 30,21.0,30.0,70.0,11.0,16.0,68.75,10.0,14.0,71.42857142857143,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
660cd925f18d43260af51b1e,3/14/2025 10:04:25,11 / 30,11.0,30.0,36.7,7.0,18.0,38.88888888888889,4.0,12.0,33.33333333333333,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ab86c388d894234270be6f,,,,,,,,,,,,,4/17/25 08:51,9 / 30,9.0,30.0,30.0,5.0,16.0,31.25,4.0,14.0,28.57142857142857,Fourth,,,,,,,,,,,,,,,,,,,,,,,,
66b3555239c5f303aae52b0e,3/6/2025 9:56:53,7 / 30,7.0,30.0,23.3,4.0,18.0,22.22222222222222,3.0,12.0,25.0,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66b6aa1c0c77be0ee3e73c36,3/14/2025 13:57:53,17 / 30,18.0,30.0,60.0,8.0,18.0,44.44444444444444,10.0,12.0,83.33333333333334,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f13acc62162b183dbb6952,3/10/2025 13:37:54,17 / 30,17.0,30.0,56.7,12.0,18.0,66.66666666666666,5.0,12.0,41.66666666666667,Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67eb69a7ae85f45d877e7547,,,,,,,,,,,,,4/24/25 10:34,7 / 30,6.0,29.0,20.7,5.0,17.0,29.411764705882355,1.0,12.0,8.333333333333332,Second,,,,,,,,,,,,,,,,,,,,,,,,
