id,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid,overall_change,overall_trained_change,group
5f3d736794738300247cd7f8,3/6/2025 10:53:37,21 / 30,21,30,70.0,14,18,77.77777777777779,7,12,58.333333333333336,Fourth,4/17/25 11:18,27 / 30,27,30,90.0,15,16,93.75,12,14,85.71428571428571,Fourth,20.0,15.972222222222214,Experimental
6109506f045ae600445815b4,3/6/2025 10:54:23,21 / 30,21,30,70.0,13,18,72.22222222222221,8,12,66.66666666666666,Fourth,4/17/25 11:17,23 / 30,23,30,76.7,15,16,93.75,8,14,57.14285714285714,Fourth,6.700000000000003,21.527777777777786,Experimental
611d71ca810b491ec5ebd5fa,3/6/2025 10:54:45,20 / 30,20,30,66.7,11,18,61.111111111111114,9,12,75.0,Fourth,4/17/25 11:22,22 / 30,22,30,73.3,13,16,81.25,9,14,64.28571428571429,Fourth,6.599999999999994,20.138888888888886,Experimental
6304030f91971500c6e3824a,3/6/2025 10:54:52,22 / 30,22,30,73.3,14,18,77.77777777777779,8,12,66.66666666666666,Fourth,4/17/25 11:19,24 / 30,24,30,80.0,14,16,87.5,10,14,71.42857142857143,Fourth,6.700000000000003,9.722222222222214,Control
5d4c0d1fe88b9a016f49237e,3/6/2025 10:55:00,16 / 30,16,30,53.3,10,18,55.55555555555556,6,12,50.0,Fourth,4/17/25 11:19,24 / 30,24,30,80.0,12,16,75.0,12,14,85.71428571428571,Fourth,26.700000000000003,19.444444444444443,Experimental
64c95026ea2c110826452910,3/6/2025 10:55:07,18 / 30,18,30,60.0,10,18,55.55555555555556,8,12,66.66666666666666,Fourth,4/17/25 11:20,22 / 30,22,30,73.3,13,16,81.25,9,14,64.28571428571429,Fourth,13.299999999999997,25.694444444444443,Experimental
5f2be6d7e4b1e9033697f68d,3/6/2025 10:55:39,17 / 30,17,30,56.7,9,18,50.0,8,12,66.66666666666666,Fourth,4/17/25 11:20,21 / 30,21,30,70.0,11,16,68.75,10,14,71.42857142857143,Fourth,13.299999999999997,18.75,Experimental
5f2be6d7e4b1e9033697f69e,3/6/2025 10:55:49,15 / 30,15,30,50.0,9,18,50.0,6,12,50.0,Fourth,4/17/25 11:19,15 / 30,15,30,50.0,8,16,50.0,7,14,50.0,Fourth,0.0,0.0,Experimental
5f8d913f9953ab0654c9012c,3/6/2025 10:56:33,22 / 30,22,30,73.3,12,18,66.66666666666666,10,12,83.33333333333334,Fourth,4/17/25 11:27,26 / 30,26,30,86.7,13,16,81.25,13,14,92.85714285714286,Fourth,13.400000000000006,14.583333333333343,Experimental
6421bcc00ca53e1c39e823bd,3/6/2025 10:57:19,21 / 30,21,30,70.0,13,18,72.22222222222221,8,12,66.66666666666666,Fourth,4/17/25 11:19,20 / 30,20,30,66.7,10,16,62.5,10,14,71.42857142857143,Fourth,-3.299999999999997,-9.722222222222214,Control
