service_id,total_stars,avg_daily_stars,total_pns,avg_daily_pns,total_days_completed,missions_started,missions_completed,missions_aborted,races_started,popquizzes_started,popquizzes_completed,missing_missions,total_playtime,avg_daily_playtime,days_active,assemblesyllables_totalnumber,matchcollocations_totalnumber,matchsentenceblank_totalnumber,matchsynonyms_totalnumber,popquizcollocation_totalnumber,popquizsynonym_totalnumber,assemblesyllables_totaltime,matchcollocations_totaltime,matchsentenceblank_totaltime,matchsynonyms_totaltime,popquizcollocation_totaltime,popquizsynonym_totaltime,assemblesyllables_avgtime,matchcollocations_avgtime,matchsentenceblank_avgtime,matchsynonyms_avgtime,popquizcollocation_avgtime,popquizsynonym_avgtime,accuracy,total_learning_time,avg_response_time,unique_words_exposed,avg_interactions_per_word,words_with_9plus_exposures,trained_count,untrained_count,random_count,first_exposure_wrong,second_exposure_wrong,avg_exposure_attempts,total_exposures_wrong,avg_wic_attempts,total_wic_wrong,total_wrong,learned_trained_count,imputed_word_data,improved_learning_time
5f2be6d7e4b1e9033697f674,79,8.78,88.0,9.78,3,18,9.0,7,2,3,3,2,148.49,14.85,10.0,18.0,5.0,19.0,37.0,2.0,7.0,130.58,23.43,244.28,226.46,5.55,23.65,7.82,4.39,13.02,6.12,2.77,3.38,0.66,289142.07,2389.6,18,6.72,4,12,0,6,2.0,3.0,6.27,15.0,4.0,11.0,26.0,6.0,False,653.95
5f2be6d7e4b1e9033697f67b,89,11.12,110.0,13.75,6,22,16.0,4,28,5,5,2,187.8,23.48,8.0,24.0,5.0,18.0,42.0,5.0,16.0,160.27,26.46,177.82,251.08,13.8,53.1,7.65,5.29,11.31,6.67,2.76,3.3,0.79,859.57,7.41,24,4.83,1,18,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,9.0,False,682.53
5f2be6d7e4b1e9033697f680,107,10.7,120.0,12.0,5,27,16.0,11,7,3,3,0,153.95,15.4,10.0,27.0,9.0,18.0,53.0,,13.0,242.77,53.85,197.53,377.49,0.0,30.37,10.05,5.84,12.82,6.95,,2.32,0.6,1356.28,7.66,27,6.56,6,21,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,False,902.01
5f2be6d7e4b1e9033697f685,47,6.71,47.0,6.71,1,22,7.0,15,1,0,0,0,151.53,18.94,8.0,16.0,3.0,7.0,21.0,,,133.42,39.31,99.97,193.85,0.0,0.0,9.94,13.1,16.75,10.19,,,0.69,712.42,10.48,16,4.25,0,11,0,5,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,False,466.55
5f2be6d7e4b1e9033697f68d,107,8.92,119.0,9.92,5,21,15.0,5,7,3,3,1,200.44,16.7,12.0,27.0,8.0,22.0,50.0,,12.0,199.65,84.67,309.2,383.32,0.0,59.85,8.34,10.65,14.55,7.77,,4.8,0.74,1397.36,9.7,27,5.33,4,21,0,6,1.0,5.0,4.88,15.0,2.59,7.0,22.0,12.0,False,1036.69
5f2be6d7e4b1e9033697f690,84,9.33,107.0,11.89,5,18,15.0,2,11,5,5,1,240.82,21.89,11.0,24.0,5.0,15.0,40.0,2.0,21.0,192.83,34.35,116.33,253.03,6.16,69.24,10.06,6.87,8.33,6.85,3.08,3.24,0.82,740.58,7.26,24,4.25,1,18,0,6,2.0,4.0,4.48,14.0,2.0,6.0,20.0,15.0,False,671.94
5f2be6d7e4b1e9033697f69e,88,8.8,98.0,9.8,3,21,14.0,5,32,3,3,2,136.16,11.35,12.0,23.0,5.0,20.0,40.0,2.0,8.0,246.77,43.87,280.87,331.65,5.17,27.66,11.06,9.59,15.01,8.6,2.58,3.49,0.69,1333.33,10.18,24,5.46,6,18,0,6,1.0,3.0,5.42,12.0,3.17,10.0,22.0,8.0,False,935.99
5f2be6d8e4b1e9033697f6b8,170,12.14,184.0,13.14,4,40,19.0,15,6,4,3,6,370.77,26.48,14.0,38.0,18.0,43.0,71.0,5.0,9.0,316.84,140.01,830.85,676.94,24.68,23.02,8.89,7.34,20.49,9.35,5.45,2.47,0.72,2979.31,12.41,38,6.32,9,28,0,10,1.0,10.0,5.47,36.0,3.33,25.0,61.0,26.0,False,2012.34
5f2be6d8e4b1e9033697f6c7,58,9.67,75.0,12.5,4,14,10.0,4,23,4,4,0,145.51,20.79,7.0,16.0,4.0,11.0,27.0,4.0,13.0,111.28,25.62,82.15,168.18,17.04,43.35,7.63,6.41,8.92,5.82,4.26,3.82,0.68,83822.81,986.15,16,5.31,0,11,0,5,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,False,447.62
5f3ab05ec0b8b509bbf6a567,100,10.0,112.0,11.2,5,34,15.0,16,21,5,5,3,271.44,22.62,12.0,25.0,7.0,19.0,49.0,1.0,11.0,233.95,46.2,241.41,314.7,1.06,42.92,11.28,6.6,10.33,6.6,1.06,3.71,0.52,1619.06,8.35,25,7.76,6,19,0,6,2.0,6.0,10.0,19.0,6.57,13.0,32.0,3.0,False,880.24
